row_id,station_id,timestamp_utc,temp_c,rh_pct,precip_mm
r001,STN_A,2026-05-01T00:00:00Z,12.4,78,0.0
r002,STN_A,2026-05-01T01:00:00Z,12.1,81,0.2
r003,STN_A,2026-05-01T02:00:00Z,11.8,84,0.5
r004,STN_A,2026-05-01T03:00:00Z,11.6,87,0.1
r005,STN_A,2026-05-01T04:00:00Z,11.5,88,0.0
r006,STN_A,2026-05-01T04:00:00Z,11.5,88,0.0
r007,STN_A,2026-05-01T05:00:00Z,11.9,86,0.0
r008,STN_A,2026-05-01T06:00:00Z,12.8,108,0.0
r009,STN_A,2026-05-01T07:00:00Z,13.7,79,0.0
r010,STN_A,2026-05-01T08:00:00Z,14.5,74,-1.0
r011,STN_A,2026-05-01T09:00:00Z,15.2,70,0.0
r012,STN_A,2026-05-01T10:00:00Z,62.0,66,0.0
r013,STN_A,2026-05-01T11:00:00Z,16.1,64,0.0
r014,STN_A,2026-05-01T12:00:00Z,16.4,62,0.0

